日期,外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
5-4,0,0,0,0,0,0,0,0,"-25,957",0,0,0,"21,043","47,000","-25,957","-25,957"
5-5,0,0,0,0,0,0,0,0,"-106,000",0,0,0,"150,000","256,000","-106,000","-106,000"
5-8,0,0,0,0,0,0,0,0,"-5,799",0,0,0,"39,242","45,041","-5,799","-5,799"
5-9,0,"23,000",0,0,0,0,0,0,"23,756",0,0,0,"59,756","36,000","23,756","46,756"
5-10,0,"6,000",0,0,0,0,0,0,"7,388",0,0,0,"15,388","8,000","7,388","13,388"
5-11,100,"44,900",0,0,0,0,0,0,"-10,264",0,0,0,"27,736","38,000","-10,264","34,636"
5-12,0,"1,000",0,0,0,0,0,0,"29,335",0,0,0,"32,335","3,000","29,335","30,335"
5-15,"2,000","-1,000",0,0,0,0,0,0,"-5,928",0,0,0,"31,912","37,840","-5,928","-6,928"
5-16,0,"1,000",0,0,0,0,0,0,"12,618",0,0,0,"50,618","38,000","12,618","13,618"
5-17,0,"76,000",0,0,0,0,0,0,"-65,082",0,0,0,"7,918","73,000","-65,082","10,918"
5-18,0,0,0,0,0,0,0,0,"54,638",0,0,0,"87,638","33,000","54,638","54,638"
5-19,"5,000","194,000",0,0,0,0,0,0,"-118,537",0,0,0,"58,463","177,000","-118,537","75,463"
5-22,0,"49,000",0,0,0,0,0,0,"-19,760",0,0,0,"37,240","57,000","-19,760","29,240"
5-23,"4,000","147,000",0,0,0,0,0,0,"-57,736",0,0,0,"182,264","240,000","-57,736","89,264"
5-24,"10,000","-10,000",0,0,0,0,0,0,"8,001",0,0,0,"48,001","40,000","8,001","-1,999"
5-25,"31,000","-30,000",0,0,0,0,0,0,"29,190",0,0,0,"38,190","9,000","29,190",-810
5-26,"63,000","-63,000",0,0,0,0,0,0,"105,377",0,0,0,"118,377","13,000","105,377","42,377"
5-29,"4,000","214,000",0,0,0,0,0,0,"-189,518",0,0,0,"96,482","286,000","-189,518","24,482"
5-30,"11,000","-11,000",0,0,0,0,0,0,"57,989",0,0,0,"148,989","91,000","57,989","46,989"
5-31,106,"103,894",0,0,0,0,0,0,"-4,514",0,0,0,"306,486","311,000","-4,514","99,380"
6-1,"2,000","3,000",0,0,0,0,0,0,"11,407",0,0,0,"105,407","94,000","11,407","14,407"
6-2,0,"81,000",0,0,0,0,0,0,"-27,602",0,0,0,"45,398","73,000","-27,602","53,398"
6-5,"3,140","116,860",0,0,0,0,0,0,"-61,773",0,0,0,"36,227","98,000","-61,773","55,087"
6-6,"4,000","144,000",0,0,0,0,0,0,"15,496",0,0,0,"76,496","61,000","15,496","159,496"
6-7,0,"135,000",0,0,0,0,0,0,"-98,186",0,0,0,"44,814","143,000","-98,186","36,814"
6-8,"11,000","-11,000",0,0,0,0,0,0,"-30,000",0,0,0,"6,000","36,000","-30,000","-41,000"
6-9,"2,000","-2,000",0,0,0,0,0,0,"-22,994",0,0,0,"21,006","44,000","-22,994","-24,994"
6-12,"2,101","41,899",0,0,0,0,0,0,"-22,242",0,0,0,"6,758","29,000","-22,242","19,657"
6-13,"3,000","8,000",0,0,0,0,0,0,"50,585",0,0,0,"98,585","48,000","50,585","58,585"
6-14,115,"4,885",0,0,0,0,0,0,"27,395",0,0,0,"88,395","61,000","27,395","32,280"
6-15,"13,000","-12,000",0,0,0,0,0,0,"73,372",0,0,0,"107,372","34,000","73,372","61,372"
6-16,"2,000","-2,000",0,0,0,0,0,0,"22,093",0,0,0,"56,093","34,000","22,093","20,093"
6-19,"17,000","-15,000",0,0,0,0,0,0,"-27,977",0,0,0,"294,023","322,000","-27,977","-42,977"
6-20,100,"6,900",0,0,0,0,0,0,"57,329",0,0,0,"96,329","39,000","57,329","64,229"
6-21,"1,000","2,000",0,0,0,0,0,0,"31,827",0,0,0,"34,827","3,000","31,827","33,827"
6-26,"30,000","-19,000",0,0,0,0,0,0,"36,000",0,0,0,"165,000","129,000","36,000","17,000"
6-29,0,"52,000",0,0,0,0,0,0,"-54,277",0,0,0,"82,723","137,000","-54,277","-2,277"
6-30,"6,000","-5,000",0,0,0,0,0,0,"6,958",0,0,0,"15,000","8,042","6,958","1,958"
7-3,0,"107,000",0,0,0,0,0,0,"-110,939",0,0,0,"54,061","165,000","-110,939","-3,939"
7-4,"36,000","-34,000",0,0,0,0,0,0,"38,818",0,0,0,"65,523","26,705","38,818","4,818"
7-5,0,"8,000",0,0,0,0,0,0,"24,087",0,0,0,"34,087","10,000","24,087","32,087"
7-6,0,"36,000",0,0,0,0,0,0,"-46,000",0,0,0,"88,000","134,000","-46,000","-10,000"
7-7,0,"333,000",0,0,0,0,0,0,"18,710",0,0,0,"179,710","161,000","18,710","351,710"
7-10,0,"53,000",0,0,0,0,0,0,"-10,758",0,0,0,"64,242","75,000","-10,758","42,242"
7-11,0,"95,000",0,0,0,0,0,0,"2,012",0,0,0,"32,012","30,000","2,012","97,012"
7-12,0,"134,000",0,0,0,0,0,0,"-77,197",0,0,0,"30,803","108,000","-77,197","56,803"
7-13,"4,000","117,000",0,0,0,0,0,0,"-42,725",0,0,0,"300,275","343,000","-42,725","74,275"
7-14,"5,000","-4,000",0,0,0,0,0,0,"38,898",0,0,0,"69,898","31,000","38,898","34,898"
7-17,"1,000","3,000",0,0,0,0,0,0,"41,533",0,0,0,"60,453","18,920","41,533","44,533"
7-18,"4,000","99,000",0,0,0,0,0,0,"-57,127",0,0,0,"125,873","183,000","-57,127","41,873"
7-19,0,"271,000",0,0,0,0,0,0,"-115,135",0,0,0,"80,865","196,000","-115,135","155,865"
7-20,"4,000","75,000",0,0,0,0,0,0,"-61,829",0,0,0,"20,171","82,000","-61,829","13,171"
7-21,"2,000","190,000",0,0,0,0,0,0,"-106,000",0,0,0,"41,000","147,000","-106,000","84,000"
7-24,"2,000","158,000",0,0,0,0,0,0,"-152,640",0,0,0,"68,360","221,000","-152,640","5,360"
7-25,0,"52,100",0,0,0,0,0,0,"46,765",0,0,0,"107,765","61,000","46,765","98,865"
7-26,"1,000","54,000",0,0,0,0,0,0,"-7,000",0,0,0,"29,000","36,000","-7,000","47,000"
7-27,0,0,0,0,0,0,0,0,"51,000",0,0,0,"53,000","2,000","51,000","51,000"
7-28,"5,000","-5,000",0,0,0,0,0,0,"-34,207",0,0,0,"58,246","92,453","-34,207","-39,207"
8-2,"2,000","79,000",0,0,0,0,0,0,"13,865",0,0,0,"47,865","34,000","13,865","92,865"
8-8,"3,000","-3,000",0,0,0,0,0,0,"-6,000",0,0,0,"3,000","9,000","-6,000","-9,000"
8-9,"2,000","-2,000",0,0,0,0,0,0,"-5,922",0,0,0,"90,078","96,000","-5,922","-7,922"
8-10,"3,000","-2,900",0,0,0,0,0,0,"4,000",0,0,0,"49,000","45,000","4,000","1,100"
8-11,"1,000","39,000",0,0,0,0,0,0,"-24,813",0,0,0,"26,187","51,000","-24,813","14,187"
8-14,"5,000","-5,000",0,0,0,0,0,0,"3,000",0,0,0,"75,000","72,000","3,000","-2,000"
8-15,0,"62,000",0,0,0,0,0,0,"-14,000",0,0,0,"39,000","53,000","-14,000","48,000"
8-16,"23,000","-23,000",0,0,0,0,0,0,"6,009",0,0,0,"21,014","15,005","6,009","-16,991"
8-17,"15,000","-14,900",0,0,0,0,0,0,"-12,079",0,0,0,"11,003","23,082","-12,079","-26,979"
8-18,"125,000","-124,000",0,0,0,0,0,0,"31,000",0,0,0,"64,000","33,000","31,000","-93,000"
8-21,"2,000","-1,000",0,0,0,0,0,0,"-13,643",0,0,0,"7,357","21,000","-13,643","-14,643"
8-22,"40,000","-40,000",0,0,0,0,0,0,"-134,577",0,0,0,"54,423","189,000","-134,577","-174,577"
